transferor_loan_number,esign_evidence,tcpa_voice_evidence
TR-0000001,Y,Y
TR-0000002,Y,Y
TR-0000003,Y,Y
TR-0000004,Y,Y
TR-0000005,Y,Y
TR-0000006,N,N
TR-0000007,Y,Y
TR-0000008,Y,Y
TR-0000009,Y,Y
TR-0000010,Y,Y
TR-0000011,Y,Y
TR-0000012,Y,Y
TR-0000013,Y,Y
TR-0000014,Y,Y
TR-0000015,Y,Y
TR-0000016,Y,Y
TR-0000017,Y,Y
TR-0000018,Y,N
TR-0000019,Y,Y
TR-0000020,Y,Y
TR-0000021,Y,Y
TR-0000022,Y,Y
TR-0000023,Y,Y
TR-0000024,Y,Y
TR-0000025,Y,Y
TR-0000026,Y,Y
TR-0000027,Y,Y
TR-0000028,Y,Y
TR-0000029,Y,Y
TR-0000030,Y,Y
TR-0000031,Y,Y
TR-0000032,Y,Y
TR-0000033,Y,Y
TR-0000034,Y,Y
TR-0000035,Y,Y
TR-0000036,Y,Y
TR-0000037,Y,N
TR-0000038,Y,Y
TR-0000039,Y,Y
TR-0000040,Y,Y
TR-0000041,Y,N
TR-0000042,Y,N
TR-0000043,Y,Y
TR-0000044,Y,Y
TR-0000045,Y,Y
TR-0000046,N,Y
TR-0000047,Y,N
TR-0000048,Y,Y
TR-0000049,Y,N
TR-0000050,Y,Y
TR-0000051,Y,Y
TR-0000052,Y,N
TR-0000053,Y,Y
TR-0000054,N,Y
TR-0000055,Y,N
TR-0000056,Y,Y
TR-0000057,Y,N
TR-0000058,Y,N
TR-0000059,Y,Y
TR-0000060,Y,Y
TR-0000061,Y,Y
TR-0000062,Y,N
TR-0000063,Y,N
TR-0000064,Y,Y
TR-0000065,Y,Y
TR-0000066,Y,Y
TR-0000067,Y,Y
TR-0000068,Y,Y
TR-0000069,Y,Y
TR-0000070,N,N
TR-0000071,Y,Y
TR-0000072,Y,Y
TR-0000073,Y,N
TR-0000074,Y,Y
TR-0000075,Y,Y
TR-0000076,Y,Y
TR-0000077,Y,Y
TR-0000078,N,Y
TR-0000079,Y,Y
TR-0000080,Y,Y
TR-0000081,Y,N
TR-0000082,N,Y
TR-0000083,Y,Y
TR-0000084,Y,Y
TR-0000085,Y,Y
TR-0000086,Y,N
TR-0000087,Y,Y
TR-0000088,Y,Y
TR-0000089,N,Y
TR-0000090,Y,Y
TR-0000091,Y,Y
TR-0000092,N,Y
TR-0000093,Y,Y
TR-0000094,Y,Y
TR-0000095,N,Y
TR-0000096,Y,Y
TR-0000097,Y,Y
TR-0000098,Y,Y
TR-0000099,Y,Y
TR-0000100,Y,Y
