transferor_loan_number,line_type,annual_amount,next_due_date
TR-0000001,county_tax,8941.00,2026-12-10
TR-0000001,hazard,1496.00,2026-11-16
TR-0000001,flood,945.00,
TR-0000002,county_tax,3169.00,2026-12-10
TR-0000002,hazard,1844.00,2027-07-01
TR-0000003,county_tax,8050.00,2026-12-10
TR-0000003,hazard,943.00,2027-06-20
TR-0000004,county_tax,22108.00,2027-01-31
TR-0000004,hazard,1312.00,2026-12-26
TR-0000004,mi,5066.00,
TR-0000005,county_tax,13211.00,2026-12-10
TR-0000005,hazard,1027.00,2027-07-07
TR-0000006,county_tax,7360.00,2026-12-10
TR-0000006,hazard,1726.00,2027-06-28
TR-0000007,county_tax,19042.00,2026-12-10
TR-0000007,hazard,1965.00,2026-11-17
TR-0000008,county_tax,1187.00,2026-12-10
TR-0000008,hazard,1770.00,2027-04-27
TR-0000009,county_tax,13297.00,2026-12-10
TR-0000009,hazard,2034.00,2027-01-13
TR-0000010,county_tax,1682.00,2026-12-10
TR-0000010,hazard,996.00,2026-11-28
TR-0000011,county_tax,2958.00,2026-12-10
TR-0000011,hazard,1137.00,2026-12-14
TR-0000011,mi,1073.00,
TR-0000014,county_tax,5573.00,2026-12-10
TR-0000014,hazard,1873.00,2027-01-06
TR-0000015,county_tax,5840.00,2026-12-10
TR-0000015,hazard,2590.00,2027-01-14
TR-0000016,county_tax,8918.00,2026-12-10
TR-0000016,hazard,1882.00,2027-02-16
TR-0000016,flood,909.00,
TR-0000017,county_tax,2374.00,2026-12-10
TR-0000017,hazard,2378.00,2026-12-12
TR-0000017,mi,867.00,
TR-0000018,county_tax,6096.00,2026-12-10
TR-0000018,hazard,2389.00,2027-03-08
TR-0000019,county_tax,3735.00,2026-12-10
TR-0000019,hazard,2296.00,2027-03-17
TR-0000020,county_tax,9314.00,2026-12-10
TR-0000020,hazard,1397.00,2027-03-30
TR-0000021,county_tax,2240.00,2026-12-10
TR-0000021,hazard,2243.00,2026-12-12
TR-0000022,county_tax,4736.00,2026-12-10
TR-0000022,hazard,2145.00,2027-03-01
TR-0000023,county_tax,4307.00,2026-12-10
TR-0000023,hazard,1835.00,2027-07-30
TR-0000024,county_tax,5354.00,2026-12-10
TR-0000024,hazard,1281.00,2027-04-02
TR-0000024,flood,873.00,
TR-0000026,county_tax,8982.00,2026-12-10
TR-0000026,hazard,2127.00,2026-12-23
TR-0000027,county_tax,12675.00,2026-12-10
TR-0000027,hazard,989.00,2027-08-08
TR-0000028,county_tax,2043.00,2026-12-10
TR-0000028,hazard,1745.00,2027-08-03
TR-0000028,flood,467.00,
TR-0000029,county_tax,7391.00,2026-12-10
TR-0000029,hazard,1959.00,2026-12-16
TR-0000029,mi,1852.00,
TR-0000030,county_tax,9965.00,2026-12-10
TR-0000030,hazard,2381.00,2027-05-13
TR-0000031,county_tax,7787.00,2026-12-10
TR-0000031,hazard,2507.00,2027-04-22
TR-0000031,flood,544.00,
TR-0000032,county_tax,5049.00,2026-12-10
TR-0000032,hazard,1014.00,2027-03-05
TR-0000034,county_tax,9252.00,2026-12-10
TR-0000034,hazard,2559.00,2027-08-27
TR-0000035,county_tax,9172.00,2026-12-10
TR-0000035,hazard,2539.00,2027-08-13
TR-0000036,county_tax,2555.00,2026-12-10
TR-0000036,hazard,1513.00,2027-03-05
TR-0000036,flood,689.00,
TR-0000038,county_tax,11303.00,2026-12-10
TR-0000038,hazard,1165.00,2027-08-16
TR-0000038,mi,3973.00,
TR-0000039,county_tax,8465.00,2026-12-10
TR-0000039,hazard,1883.00,2027-03-24
TR-0000040,county_tax,9783.00,2026-12-10
TR-0000040,hazard,1808.00,2027-03-04
TR-0000042,county_tax,6106.00,2026-12-10
TR-0000042,hazard,1816.00,2027-08-24
TR-0000043,county_tax,10350.00,2026-12-10
TR-0000043,hazard,2405.00,2027-02-17
TR-0000043,flood,668.00,
TR-0000045,county_tax,4517.00,2026-12-10
TR-0000045,hazard,2328.00,2026-11-20
TR-0000046,county_tax,6940.00,2026-12-10
TR-0000046,hazard,2149.00,2027-04-03
TR-0000046,flood,900.00,
TR-0000047,county_tax,9209.00,2026-12-10
TR-0000047,hazard,1188.00,2027-07-29
TR-0000048,county_tax,11770.00,2026-12-10
TR-0000048,hazard,2540.00,2026-12-27
TR-0000049,county_tax,4412.00,2026-12-10
TR-0000049,hazard,1251.00,2027-05-22
TR-0000050,county_tax,5653.00,2027-01-31
TR-0000050,hazard,1750.00,2027-02-05
TR-0000051,county_tax,8594.00,2026-12-10
TR-0000051,hazard,1298.00,2026-11-21
TR-0000052,county_tax,6885.00,2026-12-10
TR-0000052,hazard,2366.00,2026-12-07
TR-0000053,county_tax,4204.00,2026-12-10
TR-0000053,hazard,1163.00,2027-03-27
TR-0000054,county_tax,1535.00,2026-12-10
TR-0000054,hazard,1822.00,2027-08-07
TR-0000054,mi,1058.00,
TR-0000055,county_tax,12872.00,2026-12-10
TR-0000055,hazard,1537.00,2027-03-16
TR-0000056,county_tax,7906.00,2027-01-31
TR-0000056,hazard,2530.00,2027-05-14
TR-0000057,county_tax,23333.00,2027-01-31
TR-0000057,hazard,1617.00,2027-04-22
TR-0000058,county_tax,6516.00,2027-01-31
TR-0000058,hazard,1847.00,2026-11-14
TR-0000060,county_tax,5749.00,2026-12-10
TR-0000060,hazard,2362.00,2027-05-23
TR-0000061,county_tax,8298.00,2026-12-10
TR-0000061,hazard,2407.00,2027-04-27
TR-0000063,county_tax,5539.00,2026-12-10
TR-0000063,hazard,1661.00,2026-12-05
TR-0000063,mi,2824.00,
TR-0000064,county_tax,8431.00,2026-12-10
TR-0000064,hazard,2490.00,2026-12-29
TR-0000065,county_tax,3715.00,2027-01-31
TR-0000065,hazard,1212.00,2027-06-05
TR-0000065,flood,558.00,
TR-0000066,county_tax,6023.00,2026-12-10
TR-0000066,hazard,1616.00,2027-01-11
TR-0000067,county_tax,4088.00,2026-12-10
TR-0000067,hazard,2522.00,2027-02-17
TR-0000068,county_tax,4789.00,2026-12-10
TR-0000068,hazard,2056.00,2027-02-08
TR-0000069,county_tax,1454.00,2026-12-10
TR-0000069,hazard,2428.00,2027-08-27
TR-0000070,county_tax,8819.00,2027-01-31
TR-0000070,hazard,2025.00,2027-07-20
TR-0000071,county_tax,18695.00,2027-01-31
TR-0000071,hazard,2428.00,2027-04-08
TR-0000072,county_tax,1257.00,2026-12-10
TR-0000072,hazard,1345.00,2027-01-12
TR-0000072,flood,1155.00,
TR-0000073,county_tax,9727.00,2026-12-10
TR-0000073,hazard,1968.00,2027-07-17
TR-0000074,county_tax,10159.00,2026-12-10
TR-0000074,hazard,2149.00,2027-08-05
