transferor_loan_number,ethnicity,race,sex,age,preferred_language
TR-0000004,Not Hispanic or Latino,White,Male,66,en
TR-0000005,Not provided,Black or African American,Male,35,en
TR-0000006,Hispanic or Latino,White,Female,54,en
TR-0000009,Not Hispanic or Latino,American Indian or Alaska Native,Female,54,en
TR-0000011,Hispanic or Latino,White,Not provided,65,en
TR-0000012,Hispanic or Latino,Asian,Not provided,34,
TR-0000015,Not Hispanic or Latino,Asian,Male,29,en
TR-0000016,Not Hispanic or Latino,Asian,Male,54,en
TR-0000017,Hispanic or Latino,American Indian or Alaska Native,Male,47,en
TR-0000018,Not Hispanic or Latino,Asian,Male,30,en
TR-0000019,Not provided,White,Female,38,en
TR-0000020,Not Hispanic or Latino,Not provided,Not provided,55,en
TR-0000022,Not provided,Not provided,Not provided,27,en
TR-0000023,Not provided,Asian,Not provided,51,en
TR-0000026,Not provided,White,Not provided,55,en
TR-0000027,Not provided,White,Not provided,40,
TR-0000028,Not provided,White,Male,46,en
TR-0000030,Not provided,American Indian or Alaska Native,Male,57,en
TR-0000032,Not provided,American Indian or Alaska Native,Male,35,en
TR-0000034,Not Hispanic or Latino,Black or African American,Male,77,en
TR-0000035,Hispanic or Latino,Not provided,Male,42,en
TR-0000039,Hispanic or Latino,White,Male,66,en
TR-0000040,Not Hispanic or Latino,Black or African American,Not provided,76,en
TR-0000042,Hispanic or Latino,Not provided,Male,41,en
TR-0000044,Not Hispanic or Latino,Black or African American,Male,43,es
TR-0000046,Not provided,Asian,Female,34,en
TR-0000047,Not provided,Asian,Female,76,en
TR-0000048,Not Hispanic or Latino,Black or African American,Female,33,en
TR-0000049,Not provided,Not provided,Male,72,en
TR-0000051,Not Hispanic or Latino,Asian,Not provided,35,en
TR-0000052,Not provided,Black or African American,Not provided,34,en
TR-0000053,Not Hispanic or Latino,Not provided,Female,39,en
TR-0000054,Hispanic or Latino,White,Male,70,en
TR-0000055,Not Hispanic or Latino,Black or African American,Male,61,en
TR-0000056,Not Hispanic or Latino,White,Not provided,39,en
TR-0000059,Not Hispanic or Latino,White,Not provided,30,en
TR-0000060,Not provided,Not provided,Not provided,34,en
TR-0000061,Not provided,American Indian or Alaska Native,Male,74,en
TR-0000062,Hispanic or Latino,White,Male,57,es
TR-0000063,Not provided,Black or African American,Male,33,en
TR-0000064,Hispanic or Latino,Black or African American,Male,34,en
TR-0000065,Not provided,Not provided,Male,33,en
TR-0000067,Not provided,Black or African American,Not provided,77,en
TR-0000068,Not Hispanic or Latino,Black or African American,Female,44,
TR-0000069,Not provided,American Indian or Alaska Native,Male,39,en
TR-0000070,Not provided,American Indian or Alaska Native,Female,45,en
TR-0000071,Hispanic or Latino,American Indian or Alaska Native,Female,49,en
TR-0000075,Not Hispanic or Latino,American Indian or Alaska Native,Female,70,en
TR-0000077,Not Hispanic or Latino,Asian,Not provided,62,en
TR-0000078,Not provided,White,Female,57,en
TR-0000079,Hispanic or Latino,Not provided,Not provided,44,en
TR-0000080,Not provided,Not provided,Not provided,58,en
TR-0000082,Not provided,Black or African American,Not provided,62,en
TR-0000083,Hispanic or Latino,Asian,Female,53,en
TR-0000084,Hispanic or Latino,Black or African American,Not provided,26,en
TR-0000085,Hispanic or Latino,Black or African American,Male,66,en
TR-0000086,Hispanic or Latino,American Indian or Alaska Native,Not provided,73,en
TR-0000087,Not provided,Not provided,Female,73,en
TR-0000088,Not provided,Asian,Female,51,en
TR-0000089,Hispanic or Latino,White,Male,28,en
TR-0000091,Not provided,Not provided,Male,57,en
TR-0000092,Not Hispanic or Latino,White,Male,52,en
TR-0000094,Not Hispanic or Latino,American Indian or Alaska Native,Male,72,en
TR-0000095,Not provided,Black or African American,Female,46,en
TR-0000098,Not Hispanic or Latino,American Indian or Alaska Native,Not provided,65,en
TR-0000099,Hispanic or Latino,White,Female,69,en
TR-0000100,Hispanic or Latino,American Indian or Alaska Native,Female,63,en
