fnma_loan_number,on_approved_list,remittance_type,upb,scheduled_upb
4100000007,Y,A/A,330349.16,
4100000014,Y,A/A,109866.89,
4100000021,Y,A/A,603100.45,
4100000028,Y,A/A,760471.25,
4100000035,Y,A/A,509438.20,
4100000042,Y,A/A,61879.87,
4100000049,Y,A/A,446163.96,
4100000056,Y,A/A,96292.58,
4100000063,Y,A/A,560224.51,
4100000070,Y,A/A,63420.98,
4100000077,Y,A/A,192053.23,
4100000084,Y,S/A,565890.14,
4100000091,Y,S/A,329993.26,
4100000098,Y,S/A,354705.40,
4100000105,Y,S/A,253349.65,
4100000112,Y,S/A,757149.31,
4100000119,Y,S/S,155865.55,155865.55
4100000126,Y,S/S,351308.80,351308.80
4100000133,Y,S/S,243525.82,243525.82
4100000140,Y,A/A,533574.70,
4100000147,Y,A/A,126081.02,
4100000154,Y,A/A,458951.30,
4100000161,Y,A/A,303060.88,
4100000168,Y,A/A,214841.91,
4100000175,Y,A/A,255029.50,
4100000182,Y,A/A,234985.54,
4100000189,Y,A/A,558433.40,
4100000196,Y,A/A,163425.08,
4100000203,Y,A/A,260850.84,
4100000210,Y,A/A,249270.34,
4100000217,Y,A/A,380892.78,
4100000224,Y,S/A,289601.89,
4100000231,Y,S/A,287912.82,
4100000238,Y,S/A,558407.76,
4100000245,Y,S/A,579127.85,
4100000252,Y,S/A,113565.84,
4100000259,Y,S/S,424536.25,424536.25
4100000266,Y,S/S,693674.45,693674.45
4100000273,Y,S/S,630206.07,630206.07
4100000280,Y,A/A,580948.31,
4100000287,Y,A/A,349620.01,
4100000294,Y,A/A,575166.27,
4100000301,Y,A/A,263002.39,
4100000308,Y,A/A,567444.99,
4100000315,Y,A/A,392354.97,
4100000322,Y,A/A,137965.23,
4100000329,Y,A/A,441730.55,
4100000336,Y,A/A,512371.82,
4100000343,Y,A/A,352817.41,
4100000350,Y,A/A,177767.42,
4100000357,Y,A/A,473981.72,
4100000364,Y,S/A,556980.59,
4100000371,Y,S/A,267948.22,
4100000378,Y,S/A,157948.29,
4100000385,Y,S/A,635087.59,
4100000392,Y,S/A,184348.09,
4100000399,Y,S/S,589374.66,589374.66
4100000406,Y,S/S,139102.53,139102.53
4100000413,Y,S/S,390475.41,390475.41
4100000420,Y,A/A,559573.08,
4100000427,Y,A/A,286869.06,
4100000434,Y,A/A,255976.92,
4100000441,Y,A/A,455672.39,
4100000448,Y,A/A,498776.71,
4100000455,Y,A/A,58123.17,
4100000462,Y,A/A,268152.08,
4100000469,Y,A/A,192405.45,
4100000476,Y,A/A,344607.05,
4100000483,Y,A/A,97884.87,
4100000490,Y,A/A,215147.74,
4100000497,Y,A/A,488086.98,
4100000504,Y,S/A,80754.72,
4100000511,Y,S/A,547252.93,
4100000518,Y,S/A,461321.32,
4100000525,Y,S/A,486582.43,
4100000532,Y,S/A,737374.02,
4100000539,Y,S/S,308847.32,308847.32
4100000546,Y,S/S,172290.45,172290.45
4100000553,Y,S/S,346007.62,345333.17
4100000560,Y,A/A,509545.27,
4100000567,Y,A/A,725878.70,
4100000574,Y,A/A,246378.15,
4100000581,Y,A/A,603754.43,
4100000588,Y,A/A,333187.24,
4100000595,Y,A/A,549380.20,
4100000602,Y,A/A,291381.34,
4100000609,Y,A/A,179590.38,
4100000616,Y,A/A,251371.67,
4100000623,Y,A/A,462139.10,
4100000630,Y,A/A,210000.83,
4100000637,Y,A/A,391668.83,
4100000644,Y,S/A,388223.33,
4100000651,Y,S/A,489035.64,
4100000658,Y,S/A,411260.10,
4100000665,Y,S/A,549168.80,
4100000672,Y,S/A,403116.28,
4100000679,Y,S/S,477333.89,477333.89
4100000686,Y,S/S,219623.22,219623.22
4100000693,Y,S/S,515995.73,515995.73
4100000700,Y,A/A,251648.51,
