min,status,servicer_org_id,investor_org_id
100045600000000010,Active,1000456,1000001
100045600000000028,Active,1000456,1000001
100045600000000036,Active,1000456,1000001
100045600000000044,Active,1000456,1000001
100045600000000077,Active,1000456,1000001
100045600000000085,Active,1000456,1000001
100045600000000093,Active,1000456,1000001
100045600000000101,Active,1000456,1000001
100045600000000119,Active,1000456,1000001
100045600000000127,Active,1000456,1000001
100045600000000135,Active,1000456,1000001
100045600000000143,Active,1000456,1000001
100045600000000168,Active,1000456,1000001
100045600000000176,Active,1000456,1000001
100045600000000184,Active,1000456,1000001
100045600000000192,Active,1000456,1000001
100045600000000200,Active,1000456,1000001
100045600000000218,Active,1000456,1000001
100045600000000226,Active,1000456,1000001
100045600000000234,Active,1000456,1000001
100045600000000242,Active,1000456,1000001
100045600000000259,Active,1000456,1000001
100045600000000267,Active,1000456,1000001
100045600000000275,Active,1000456,1000001
100045600000000283,Active,1000456,1000001
100045600000000291,Active,1000456,1000001
100045600000000309,Active,1000456,1000001
100045600000000317,Active,1000456,1000001
100045600000000325,Active,1000456,1000001
100045600000000333,Active,1000456,1000001
100045600000000341,Active,1000456,1000001
100045600000000358,Active,1000456,1000001
100045600000000366,Active,1000456,1000001
100045600000000374,Active,1000456,1000001
100045600000000382,Active,1000456,1000001
100045600000000390,Active,1000456,1000001
100045600000000408,Active,1000456,1000001
100045600000000416,Active,1000456,1000001
100045600000000424,Active,1000456,1000001
100045600000000432,Active,1000456,1000001
100045600000000440,Active,1000456,1000001
100045600000000457,Active,1000456,1000001
100045600000000465,Active,1000456,1000001
100045600000000473,Active,1000456,1000001
100045600000000481,Active,1000456,1000001
100045600000000499,Active,1000456,1000001
100045600000000507,Active,1000456,1000001
100045600000000515,Active,1000456,1000001
100045600000000523,Active,1000456,1000001
100045600000000531,Active,1000456,1000001
100045600000000549,Active,1000456,1000001
100045600000000556,Active,1000456,1000001
100045600000000564,Active,1000456,1000001
100045600000000572,Active,1000456,1000001
100045600000000580,Active,1000456,1000001
100045600000000598,Active,1000456,1000001
100045600000000606,Active,1000456,1000001
100045600000000614,Active,1000456,1000001
100045600000000622,Active,1000456,1000001
100045600000000630,Active,1000456,1000001
100045600000000648,Active,1000456,1000001
100045600000000655,Active,1000456,1000001
100045600000000663,Active,1000456,1000001
100045600000000671,Active,1000456,1000001
100045600000000689,Active,1000456,1000001
100045600000000697,Active,1000456,1000001
100045600000000705,Active,1000456,1000001
100045600000000713,Active,1000456,1000001
100045600000000721,Active,1000456,1000001
100045600000000739,Active,1000456,1000001
100045600000000747,Active,1000456,1000001
100045600000000754,Active,1000456,1000001
100045600000000762,Active,1000456,1000001
100045600000000770,Active,1000456,1000001
100045600000000788,Active,1000456,1000001
100045600000000796,Active,1000456,1000001
100045600000000804,Active,1000456,1000001
100045600000000812,Active,1000456,1000001
100045600000000820,Active,1000456,1000001
100045600000000838,Active,1000456,1000001
100045600000000846,Active,1000456,1000001
100045600000000853,Active,1000456,1009999
100045600000000861,Active,1000456,1000001
100045600000000879,Active,1000456,1000001
100045600000000887,Active,1000456,1000001
100045600000000895,Active,1000456,1000001
100045600000000903,Active,1000456,1000001
100045600000000911,Active,1000456,1000001
100045600000000929,Active,1000456,1000001
100045600000000937,Active,1000456,1000001
100045600000000945,Active,1000456,1000001
100045600000000952,Active,1000456,1000001
100045600000000960,Active,1000456,1000001
100045600000000978,Active,1000456,1000001
100045600000000986,Active,1000456,1000001
100045600000000994,Active,1000456,1000001
100045600000001000,Active,1000456,1000001
