transferor_loan_number,due_date,scheduled_amount,received_on,received_amount
TR-0000001,2024-11-01,5727.44,2024-10-30,5727.44
TR-0000001,2024-12-01,5727.44,2024-12-09,5727.44
TR-0000001,2025-01-01,5727.44,2025-01-08,5727.44
TR-0000001,2025-02-01,5727.44,2025-02-09,5727.44
TR-0000001,2025-03-01,5727.44,2025-03-05,5727.44
TR-0000001,2025-04-01,5727.44,2025-04-11,5727.44
TR-0000001,2025-05-01,5727.44,2025-05-09,5727.44
TR-0000001,2025-06-01,5727.44,2025-06-06,5727.44
TR-0000001,2025-07-01,5727.44,2025-06-29,5727.44
TR-0000001,2025-08-01,5727.44,2025-08-12,5727.44
TR-0000001,2025-09-01,5727.44,2025-09-01,5727.44
TR-0000001,2025-10-01,5727.44,2025-10-11,5727.44
TR-0000001,2025-11-01,5727.44,2025-11-12,5727.44
TR-0000001,2025-12-01,5727.44,2025-12-03,5727.44
TR-0000001,2026-01-01,5727.44,2026-01-04,5727.44
TR-0000001,2026-02-01,5727.44,2026-01-29,5727.44
TR-0000001,2026-03-01,5727.44,2026-03-10,5727.44
TR-0000001,2026-04-01,5727.44,2026-04-03,5727.44
TR-0000001,2026-05-01,5727.44,2026-04-28,5727.44
TR-0000001,2026-06-01,5727.44,2026-06-04,5727.44
TR-0000001,2026-07-01,5727.44,2026-07-07,5727.44
TR-0000001,2026-08-01,5727.44,2026-08-08,5727.44
TR-0000001,2026-09-01,5727.44,2026-08-31,5727.44
TR-0000001,2026-10-01,5727.44,,
TR-0000002,2024-11-01,1032.04,2024-11-03,1032.04
TR-0000002,2024-12-01,1032.04,2024-12-09,1032.04
TR-0000002,2025-01-01,1032.04,2024-12-31,1032.04
TR-0000002,2025-02-01,1032.04,2025-02-13,1032.04
TR-0000002,2025-03-01,1032.04,2025-02-28,1032.04
TR-0000002,2025-04-01,1032.04,2025-04-03,1032.04
TR-0000002,2025-05-01,1032.04,2025-05-11,1032.04
TR-0000002,2025-06-01,1032.04,2025-06-12,1032.04
TR-0000002,2025-07-01,1032.04,2025-07-03,1032.04
TR-0000002,2025-08-01,1032.04,2025-08-07,1032.04
TR-0000002,2025-09-01,1032.04,2025-09-07,1032.04
TR-0000002,2025-10-01,1032.04,2025-09-29,1032.04
TR-0000002,2025-11-01,1032.04,2025-11-08,1032.04
TR-0000002,2025-12-01,1032.04,2025-12-07,1032.04
TR-0000002,2026-01-01,1032.04,2026-01-08,1032.04
TR-0000002,2026-02-01,1032.04,2026-02-12,1032.04
TR-0000002,2026-03-01,1032.04,2026-02-26,1032.04
TR-0000002,2026-04-01,1032.04,2026-03-31,1032.04
TR-0000002,2026-05-01,1032.04,2026-05-12,1032.04
TR-0000002,2026-06-01,1032.04,2026-06-02,1032.04
TR-0000002,2026-07-01,1032.04,2026-07-10,1032.04
TR-0000002,2026-08-01,1032.04,2026-07-29,1032.04
TR-0000002,2026-09-01,1032.04,2026-09-12,1032.04
TR-0000002,2026-10-01,1032.04,,
TR-0000003,2024-11-01,3629.82,2024-10-31,3629.82
TR-0000003,2024-12-01,3629.82,2024-12-02,3629.82
TR-0000003,2025-01-01,3629.82,2024-12-30,3629.82
TR-0000003,2025-02-01,3629.82,2025-01-30,3629.82
TR-0000003,2025-03-01,3629.82,2025-03-10,3629.82
TR-0000003,2025-04-01,3629.82,2025-04-11,3629.82
TR-0000003,2025-05-01,3629.82,2025-05-06,3629.82
TR-0000003,2025-06-01,3629.82,2025-06-06,3629.82
TR-0000003,2025-07-01,3629.82,2025-07-11,3629.82
TR-0000003,2025-08-01,3629.82,2025-08-11,3629.82
TR-0000003,2025-09-01,3629.82,2025-09-11,3629.82
TR-0000003,2025-10-01,3629.82,2025-10-05,3629.82
TR-0000003,2025-11-01,3629.82,2025-11-04,3629.82
TR-0000003,2025-12-01,3629.82,2025-12-12,3629.82
TR-0000003,2026-01-01,3629.82,2026-01-04,3629.82
TR-0000003,2026-02-01,3629.82,2026-01-30,3629.82
TR-0000003,2026-03-01,3629.82,2026-03-04,3629.82
TR-0000003,2026-04-01,3629.82,2026-04-13,3629.82
TR-0000003,2026-05-01,3629.82,2026-05-07,3629.82
TR-0000003,2026-06-01,3629.82,2026-06-06,3629.82
TR-0000003,2026-07-01,3629.82,2026-06-29,3629.82
TR-0000003,2026-08-01,3629.82,2026-07-29,3629.82
TR-0000003,2026-09-01,3629.82,2026-08-31,3629.82
TR-0000003,2026-10-01,3629.82,,
TR-0000004,2024-11-01,6639.82,2024-11-13,6639.82
TR-0000004,2024-12-01,6639.82,2024-12-04,6639.82
TR-0000004,2025-01-01,6639.82,2025-01-07,6639.82
TR-0000004,2025-02-01,6639.82,2025-02-07,6639.82
TR-0000004,2025-03-01,6639.82,2025-02-28,6639.82
TR-0000004,2025-04-01,6639.82,2025-04-02,6639.82
TR-0000004,2025-05-01,6639.82,2025-05-13,6639.82
TR-0000004,2025-06-01,6639.82,2025-05-31,6639.82
TR-0000004,2025-07-01,6639.82,2025-07-11,6639.82
TR-0000004,2025-08-01,6639.82,2025-08-06,6639.82
TR-0000004,2025-09-01,6639.82,2025-09-05,6639.82
TR-0000004,2025-10-01,6639.82,2025-10-11,6639.82
TR-0000004,2025-11-01,6639.82,2025-10-29,6639.82
TR-0000004,2025-12-01,6639.82,2025-12-04,6639.82
TR-0000004,2026-01-01,6639.82,2026-01-07,6639.82
TR-0000004,2026-02-01,6639.82,2026-02-06,6639.82
TR-0000004,2026-03-01,6639.82,2026-03-09,6639.82
TR-0000004,2026-04-01,6639.82,2026-04-02,6639.82
TR-0000004,2026-05-01,6639.82,2026-05-01,6639.82
TR-0000004,2026-06-01,6639.82,2026-06-06,6639.82
TR-0000004,2026-07-01,6639.82,2026-06-30,6639.82
TR-0000004,2026-08-01,6639.82,2026-07-30,6639.82
TR-0000004,2026-09-01,6639.82,2026-09-08,6639.82
TR-0000004,2026-10-01,6639.82,,
TR-0000005,2024-11-01,4473.41,2024-11-09,4473.41
TR-0000005,2024-12-01,4473.41,2024-12-11,4473.41
TR-0000005,2025-01-01,4473.41,2024-12-29,4473.41
TR-0000005,2025-02-01,4473.41,2025-01-31,4473.41
TR-0000005,2025-03-01,4473.41,2025-03-06,4473.41
TR-0000005,2025-04-01,4473.41,2025-04-11,4473.41
TR-0000005,2025-05-01,4473.41,2025-05-08,4473.41
TR-0000005,2025-06-01,4473.41,2025-06-04,4473.41
TR-0000005,2025-07-01,4473.41,2025-07-07,4473.41
TR-0000005,2025-08-01,4473.41,2025-08-01,4473.41
TR-0000005,2025-09-01,4473.41,2025-09-12,4473.41
TR-0000005,2025-10-01,4473.41,2025-10-11,4473.41
TR-0000005,2025-11-01,4473.41,2025-10-30,4473.41
TR-0000005,2025-12-01,4473.41,2025-11-30,4473.41
TR-0000005,2026-01-01,4473.41,2026-01-06,4473.41
TR-0000005,2026-02-01,4473.41,2026-02-05,4473.41
TR-0000005,2026-03-01,4473.41,2026-03-05,4473.41
TR-0000005,2026-04-01,4473.41,2026-04-01,4473.41
TR-0000005,2026-05-01,4473.41,2026-05-06,4473.41
TR-0000005,2026-06-01,4473.41,2026-06-03,4473.41
TR-0000005,2026-07-01,4473.41,2026-07-05,4473.41
TR-0000005,2026-08-01,4473.41,2026-08-13,4473.41
TR-0000005,2026-09-01,4473.41,2026-09-10,4473.41
TR-0000005,2026-10-01,4473.41,,
TR-0000006,2024-11-01,2307.66,2024-10-29,2307.66
TR-0000006,2024-12-01,2307.66,2024-12-11,2307.66
TR-0000006,2025-01-01,2307.66,2025-01-03,2307.66
TR-0000006,2025-02-01,2307.66,2025-02-09,2307.66
TR-0000006,2025-03-01,2307.66,2025-03-05,2307.66
TR-0000006,2025-04-01,2307.66,2025-03-30,2307.66
TR-0000006,2025-05-01,2307.66,2025-05-10,2307.66
TR-0000006,2025-06-01,2307.66,2025-06-02,2307.66
TR-0000006,2025-07-01,2307.66,2025-07-07,2307.66
TR-0000006,2025-08-01,2307.66,2025-07-31,2307.66
TR-0000006,2025-09-01,2307.66,2025-09-13,2307.66
TR-0000006,2025-10-01,2307.66,2025-10-05,2307.66
TR-0000006,2025-11-01,2307.66,2025-11-03,2307.66
TR-0000006,2025-12-01,2307.66,2025-12-01,2307.66
TR-0000006,2026-01-01,2307.66,2026-01-13,2307.66
TR-0000006,2026-02-01,2307.66,2026-02-03,2307.66
TR-0000006,2026-03-01,2307.66,2026-03-12,2307.66
TR-0000006,2026-04-01,2307.66,2026-03-31,2307.66
TR-0000006,2026-05-01,2307.66,2026-05-08,2307.66
TR-0000006,2026-06-01,2307.66,2026-06-06,2307.66
TR-0000006,2026-07-01,2307.66,2026-07-11,2307.66
TR-0000006,2026-08-01,2307.66,2026-08-08,2307.66
TR-0000006,2026-09-01,2307.66,2026-09-05,2307.66
TR-0000006,2026-10-01,2307.66,,
TR-0000007,2024-11-01,4397.37,2024-11-12,4397.37
TR-0000007,2024-12-01,4397.37,2024-12-03,4397.37
TR-0000007,2025-01-01,4397.37,2025-01-10,4397.37
TR-0000007,2025-02-01,4397.37,2025-01-30,4397.37
TR-0000007,2025-03-01,4397.37,2025-03-10,4397.37
TR-0000007,2025-04-01,4397.37,2025-04-01,4397.37
TR-0000007,2025-05-01,4397.37,2025-05-11,4397.37
TR-0000007,2025-06-01,4397.37,2025-06-08,4397.37
TR-0000007,2025-07-01,4397.37,2025-07-05,4397.37
TR-0000007,2025-08-01,4397.37,2025-08-11,4397.37
TR-0000007,2025-09-01,4397.37,2025-09-12,4397.37
TR-0000007,2025-10-01,4397.37,2025-09-30,4397.37
TR-0000007,2025-11-01,4397.37,2025-11-01,4397.37
TR-0000007,2025-12-01,4397.37,2025-12-12,4397.37
TR-0000007,2026-01-01,4397.37,2026-01-03,4397.37
TR-0000007,2026-02-01,4397.37,2026-01-29,4397.37
TR-0000007,2026-03-01,4397.37,2026-03-03,4397.37
TR-0000007,2026-04-01,4397.37,2026-04-13,4397.37
TR-0000007,2026-05-01,4397.37,2026-05-10,4397.37
